iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
136,0.7051830224384968,0.0542858607693498,0.994871644745953,0.0032738276952398227,1.2636901113945147,0.5097851937600617,0.007688302866115049,0.003877294271004079
137,0.7070660225442834,0.054256061214772444,0.9948770712708066,0.003269181472071794,1.2716843762144663,0.5088991211821059,0.007604069672192402,0.003947748480409173
138,0.7040283383426362,0.05217928797789667,0.9948770712708066,0.003269181472071794,1.2703467043274936,0.5101374088545655,0.00746328283371311,0.004101910318470173
139,0.7059113384484228,0.052200376135031964,0.9948770712708066,0.003269181472071794,1.2684510094716326,0.513835673153116,0.0074299887096345735,0.004108434779505297
140,0.7059113384484228,0.052200376135031964,0.9948770712708066,0.003269181472071794,1.2706941473037676,0.5128729880170566,0.00740216901060142,0.004120935426464776
141,0.7019770562913542,0.053690951051019356,0.9948770712708066,0.003269181472071794,1.2725368697040884,0.5123730450454461,0.007390532768467084,0.004136375107522706
142,0.6981491536785654,0.04854661667273786,0.9948704113306794,0.0032793461628588426,1.2762353884746245,0.5060711717380132,0.007345832227270775,0.0040985957074793754
143,0.6978691694220892,0.053555223707743696,0.9948770712708066,0.003269181472071794,1.2819515902086818,0.5058548380529735,0.007215806266377317,0.004004786167935852
144,0.6999525027554225,0.051702000617661274,0.9948770712708066,0.003269181472071794,1.2858620647789631,0.5047389080822676,0.007125653952717949,0.003952422944822017
145,0.7009847608199385,0.05023652570873523,0.9948770712708066,0.003269181472071794,1.2877250140288794,0.505093192106552,0.007116898512874085,0.003947214379994461
146,0.6991814117430815,0.04703232337291903,0.9948770712708066,0.003269181472071794,1.288027776628344,0.5046716589958756,0.007108348281124037,0.003934889609539123
147,0.6960806365492831,0.050121509986045636,0.994871644745953,0.0032738276952398227,1.2914227989237639,0.5040127663223941,0.007081397728252464,0.003936603044489176
148,0.6982647031793141,0.05008469282294462,0.994871644745953,0.0032738276952398227,1.2943094158019457,0.5053102854899884,0.007051251734775034,0.0039301443417529775
149,0.6982647031793141,0.05008469282294462,0.9948770712708066,0.003269181472071794,1.2965029972568836,0.5110922997903924,0.007045760786841185,0.00392487534765848
150,0.6982647031793141,0.05008469282294462,0.9948770712708066,0.003269181472071794,1.2971607784298613,0.5099667282932472,0.007036202000370653,0.003914129114572322
151,0.6982647031793141,0.05008469282294462,0.9948770712708066,0.003269181472071794,1.2981554194336529,0.5099927547550295,0.0070224683767179915,0.003910487574838028
152,0.6982647031793141,0.05008469282294462,0.9948770712708066,0.003269181472071794,1.3051615268026295,0.5176671671070552,0.006970107293010436,0.003962193062983242
153,0.6986951372449991,0.04963996977694801,0.9948770712708066,0.003269181472071794,1.3026759904993146,0.5201734375832996,0.006916929216166363,0.004012892104836498
154,0.6993857526724567,0.05083600624900606,0.9948770712708066,0.003269181472071794,1.3026626848501053,0.5199554966627663,0.0069031665469621445,0.0039974376623447124
155,0.6982528550689708,0.04888426186476679,0.9948770712708066,0.003269181472071794,1.3027009883619438,0.5199045261595205,0.006900223933023357,0.003993283510452229
156,0.6982528550689708,0.04888426186476679,0.9948770712708066,0.003269181472071794,1.2999717357433154,0.5200272930816535,0.006842567112725006,0.003961763563408107
157,0.6951500620081036,0.045535808524894736,0.9948770712708066,0.003269181472071794,1.3010778959153997,0.5191629653648429,0.006830222067881956,0.003958575357763005
158,0.6971364961166308,0.047015303517249,0.9948770712708066,0.003269181472071794,1.3006591605952862,0.5194203339016478,0.006815442903645991,0.0039560871123249155
159,0.6971364961166308,0.047015303517249,0.9948770712708066,0.003269181472071794,1.3031848511577606,0.5177228658362515,0.0067823136516932305,0.003986228295828018
160,0.6962664209604437,0.04752142764070375,0.9948770712708066,0.003269181472071794,1.3043927905403954,0.5166591050361313,0.006767965371977981,0.003975190891370862
161,0.6962664209604437,0.04752142764070375,0.9948770712708066,0.003269181472071794,1.3052646613127137,0.516011257452395,0.006760097265479157,0.003966263174751254
162,0.6962664209604437,0.04752142764070375,0.9948770712708066,0.003269181472071794,1.3069368824897059,0.5149205974632244,0.006747836765039335,0.00395905140801169
